template	NADA	0	2
0.000000	3.820000	--undefined--	--undefined--	--undefined--	-298.281342	-300.000000	38.852585	0.000000	3.820000	-300.000000	-300.000000	-300.000000	-300.000000	38.852585	0	0	0	0	0	0	sil	spn	^	"aI	1	.	30.607260	30.607260	30.607260	30.607260	None	None	-1	0	
3.820000	4.748375	425.873932	340.297119	517.127258	49.804295	38.046066	65.202225	3.820000	4.748375	38.852585	42.825260	49.429302	59.038727	48.921364	0	0	0	0	0	0	spn	m	sil	"aI	1	XXNONVERBALXX	42.564980	54.635605	42.564980	54.635605	None	None	-1	0	
4.748375	4.828375	--undefined--	--undefined--	--undefined--	51.823410	47.724003	56.348957	4.748375	4.828375	48.921364	51.018814	52.059662	52.676994	56.348957	0	0	0	0	0	0	m	m	spn	"aI	1	mm	41.165459	47.724476	42.755234	46.977791	watchful-80	None	-2	0	None
4.828375	4.878375	517.353943	517.353943	517.353943	55.708767	54.093399	57.099838	4.828375	4.878375	56.348957	56.030041	54.093399	55.666180	55.014187	0	0	0	0	0	0	m	h	m	"aI	2	mm	41.165459	47.724476	41.028763	47.724476	watchful-80	None	-1	0	None
4.878375	4.998375	427.412659	340.755188	517.353943	56.164169	50.408646	61.191788	4.878375	4.998375	55.014187	53.841900	58.457527	54.877502	58.835381	0	0	0	0	0	0	h	m	m	"aI	1	hmm	46.379436	52.747684	44.212219	48.560600	watchful-80	None	-2	0	None
4.998375	5.188375	219.429825	219.429825	219.429825	56.569836	46.283726	62.355423	4.998375	5.188375	58.835381	57.918285	59.424767	50.739189	53.197445	0	0	0	0	0	0	m	spn	h	"aI	2	hmm	46.379436	52.747684	48.305847	52.747684	watchful-80	None	-1	0	None
5.188375	6.030000	444.550873	340.656616	516.208740	51.694397	38.382118	61.552700	5.188375	6.030000	53.197445	45.013866	50.108932	55.184082	39.204365	0	0	0	0	0	0	spn	sil	m	"aI	1	XXNONVERBALXX	44.273483	51.073147	44.273483	51.073147	watchful-80	None	-1	0	None
6.030000	9.900000	--undefined--	--undefined--	--undefined--	-295.924744	-300.000000	40.242268	6.030000	9.900000	39.204365	-300.000000	-300.000000	-300.000000	40.242268	0	0	0	0	0	0	sil	spn	spn	"aI	1	.	30.492554	37.166939	30.492554	37.166939	watchful-80	None	-1	0	None
9.900000	11.448750	538.360413	340.860168	694.253845	46.818115	35.410885	53.969643	9.900000	11.448750	40.242268	49.839195	51.447060	46.359161	50.652046	0	0	0	0	0	0	spn	h	sil	"aI	1	XXNONVERBALXX	40.223125	48.025406	40.223125	48.025406	watchful-80	None	-1	0	None
11.448750	11.478749	--undefined--	--undefined--	--undefined--	50.670929	48.204800	52.680782	11.448750	11.478749	50.652046	52.680782	51.146088	48.204800	48.204800	0	0	0	0	0	0	h	w	spn	"aI	1	why	42.072933	46.172752	43.318260	43.318260	provoked-72	None	-3	0	None
