template	NADA	0	2
0.000000	0.040000	340.588074	340.588074	340.588074	43.530571	38.745426	47.411293	0.000000	0.040000	43.570770	47.411293	42.489662	38.745426	45.435707	0	0	0	0	0	0	g	I	^	I	1	good	41.465141	43.431503	40.157986	42.199158	polite-40	None	-3	0	None
0.040000	0.070000	--undefined--	--undefined--	--undefined--	45.821026	45.435707	46.354946	0.040000	0.070000	45.435707	45.435707	45.506367	46.354946	45.987076	0	0	0	0	0	0	I	d	g	I	2	good	41.465141	43.431503	42.113094	42.113094	polite-40	None	-2	0	None
0.070000	0.100000	--undefined--	--undefined--	--undefined--	45.374367	44.296028	46.888512	0.070000	0.100000	45.987076	45.987076	44.325859	46.888512	44.296028	0	0	0	0	0	0	d	spn	I	"eI	3	good	41.465141	43.431503	43.431503	43.431503	polite-40	None	-1	0	None
0.100000	1.550000	425.543213	290.043671	690.417542	47.461708	39.278446	57.433094	0.100000	1.550000	44.296028	47.097588	44.702118	53.171314	44.886505	0	0	0	0	0	0	spn	d	d	"eI	1	XXNONVERBALXX	40.060379	47.598530	40.060379	47.598530	polite-40	None	-1	0	None
1.550000	1.790000	409.052277	290.043671	596.639832	50.467911	41.821095	62.253796	1.550000	1.790000	44.886505	43.883430	50.747204	49.972328	61.786556	0	0	0	0	0	0	d	"eI	spn	"eI	1	day	40.450008	47.248116	40.567467	47.248116	polite-40	None	-2	0	None
1.790000	1.950000	340.473389	340.473389	340.473389	58.488972	51.380379	62.125061	1.790000	1.950000	61.786556	62.039848	61.092182	54.976158	52.243996	0	0	0	0	0	0	"eI	s	d	"eI	2	day	40.450008	47.248116	40.827080	44.641220	polite-40	None	-1	0	None
1.950000	2.090000	--undefined--	--undefined--	--undefined--	51.846287	44.879490	59.759460	1.950000	2.090000	52.243996	49.411770	47.852997	52.297100	59.759460	0	0	0	0	0	0	s	"3`	"eI	"3`	1	sir	37.208050	42.968689	36.150135	40.095943	polite-40	None	-2	0	None
2.090000	2.250000	441.092926	409.801819	516.811523	56.849270	46.353065	60.695892	2.090000	2.250000	59.759460	60.623188	59.064835	53.913231	46.353065	0	0	0	0	0	0	"3`	spn	s	"3`	2	sir	37.208050	42.968689	38.155270	42.968689	polite-40	None	-1	0	None
2.250000	3.470000	444.889221	290.485474	693.122253	47.180698	31.048716	59.022232	2.250000	3.470000	46.353065	49.765045	54.336239	42.366909	31.048716	0	0	0	0	0	0	spn	sil	"3`	"V	1	XXNONVERBALXX	39.308563	49.229790	39.308563	49.229790	polite-40	None	-1	0	None
3.470000	4.980000	--undefined--	--undefined--	--undefined--	-289.949768	-300.000000	36.639790	3.470000	4.980000	31.048716	-300.000000	-300.000000	-300.000000	36.639790	0	0	0	0	0	0	sil	spn	spn	"V	1	.	25.179035	30.668663	25.179035	30.668663	polite-40	None	-1	0	None
