template	NADA	0	2
0.000000	3.460000	--undefined--	--undefined--	--undefined--	-298.139008	-300.000000	38.873207	0.000000	3.460000	-300.000000	-300.000000	-300.000000	-300.000000	38.873207	0	0	0	0	0	0	sil	spn	^	"U	1	.	--undefined--	--undefined--	--undefined--	--undefined--	None	None	-1	0	
3.460000	3.692000	666.252441	666.252441	666.252441	44.978237	38.873207	53.236267	3.460000	3.692000	38.873207	41.190220	42.758541	50.324512	43.201042	0	0	0	0	0	0	spn	g	sil	"U	1	XXNONVERBALXX	37.003666	43.630871	37.003666	43.630871	None	None	-1	0	
3.692000	3.732000	--undefined--	--undefined--	--undefined--	52.830650	43.201042	62.972389	3.692000	3.732000	43.201042	44.656300	53.068359	60.255161	62.972389	0	0	0	0	0	0	g	"U	spn	"U	1	good	37.685375	41.931458	38.998158	39.648884	nervous-25	None	-3	0	None
3.732000	3.762000	--undefined--	--undefined--	--undefined--	63.043579	62.843784	63.356709	3.732000	3.762000	62.972389	62.972389	63.001442	62.843784	63.356709	0	0	0	0	0	0	"U	d	g	"U	2	good	37.685375	41.931458	40.139442	41.931458	nervous-25	None	-2	0	None
3.762000	3.792000	--undefined--	--undefined--	--undefined--	63.292328	63.250992	63.356709	3.762000	3.792000	63.356709	63.356709	63.283123	63.250992	63.278496	0	0	0	0	0	0	d	d	"U	"eI	3	good	37.685375	41.931458	30.813732	30.813732	nervous-25	None	-1	0	None
3.792000	3.822000	--undefined--	--undefined--	--undefined--	63.334694	62.700386	63.775604	3.792000	3.822000	63.278496	63.278496	63.584290	63.775604	62.700386	0	0	0	0	0	0	d	"eI	d	"eI	1	day	37.945591	40.737305	38.866501	40.737305	nervous-25	None	-2	0	None
3.822000	3.862000	--undefined--	--undefined--	--undefined--	56.563690	49.212479	62.700386	3.822000	3.862000	62.700386	60.504623	57.403282	52.997681	49.212479	0	0	0	0	0	0	"eI	t	d	"eI	2	day	37.945591	40.737305	37.247658	38.989571	nervous-25	None	-1	0	None
3.862000	3.952000	--undefined--	--undefined--	--undefined--	50.350975	46.901566	58.307152	3.862000	3.952000	49.212479	46.901566	49.035057	48.039513	58.307152	0	0	0	0	0	0	t	"u	"eI	"u	1	to	34.930931	38.934883	34.908356	38.908733	nervous-25	None	-2	0	None
3.952000	3.992000	--undefined--	--undefined--	--undefined--	61.437569	58.307152	62.975063	3.952000	3.992000	58.307152	60.302643	62.833725	62.769276	62.975063	0	0	0	0	0	0	"u	j	t	"u	2	to	34.930931	38.934883	33.847969	38.934883	nervous-25	None	-1	0	None
3.992000	4.052000	--undefined--	--undefined--	--undefined--	63.627022	62.037846	64.930511	3.992000	4.052000	62.975063	63.976715	64.057274	63.899323	62.037846	0	0	0	0	0	0	j	"U	"u	"U	1	you	35.274963	40.637650	32.552704	39.184448	nervous-25	None	-2	0	None
4.052000	4.142000	228.969742	228.969742	228.969742	61.766052	56.402245	64.212502	4.052000	4.142000	62.037846	62.459625	64.023979	63.399826	56.402245	0	0	0	0	0	0	"U	V	j	"U	2	you	35.274963	40.637650	37.997227	40.637650	nervous-25	None	-1	0	None
4.142000	4.172000	--undefined--	--undefined--	--undefined--	56.675659	56.010796	57.356224	4.142000	4.172000	56.402245	56.402245	56.933380	57.356224	56.010796	0	0	0	0	0	0	V	m	"U	V	1	i'm	35.119072	43.099686	36.297493	40.637650	nervous-35	None	-2	0	None
4.172000	4.312000	354.386353	339.967407	371.323792	47.522572	35.390823	56.010796	4.172000	4.312000	56.010796	54.250050	48.992420	44.105049	35.390823	0	0	0	0	0	0	m	spn	V	"u	2	i'm	35.119072	43.099686	34.456753	43.099686	nervous-35	None	-1	0	None
4.312000	4.980000	498.156158	371.353394	693.732300	39.591312	35.254490	45.869541	4.312000	4.980000	35.390823	37.274403	37.397144	40.942871	37.681286	0	0	0	0	0	0	spn	sil	m	"u	1	XXNONVERBALXX	34.272709	41.244320	34.272709	41.244320	nervous-35	None	-1	0	None
4.980000	7.700000	593.854004	593.854004	593.854004	-293.207916	-300.000000	37.681286	4.980000	7.700000	37.681286	-300.000000	-300.000000	-300.000000	34.727722	0	0	0	0	0	0	sil	spn	spn	"u	1	.	24.835653	33.766869	24.835653	33.766869	nervous-35	None	-1	0	None
