word,norm,start,end
almira,almira,0.45,0.95
gulch,gulch,0.95,1.4
just,just,1.91,2.1
because,because,2.1,2.46
you,you,2.46,2.6
own,own,2.6,2.78
half,half,2.78,3.09
the,the,3.13,3.26
county,county,3.26,3.62
doesn't,doesn't,3.62,3.91
mean,mean,3.91,4.1
you,you,4.1,4.22
have,have,4.22,4.41
the,the,4.41,4.5
power,power,4.5,4.77
to,to,4.77,4.89
run,run,4.89,5.04
the,the,5.04,5.13
rest,rest,5.13,5.37
of,of,5.37,5.46
us,us,5.46,5.71
for,for,6.17,6.28
twenty,twenty,6.28,6.84
three,three,6.87,7.19
years,years,7.19,7.47
i've,i've,7.47,7.62
been,been,7.62,7.81
dying,dying,7.81,8.16
to,to,8.16,8.25
tell,tell,8.25,8.4
you,you,8.4,8.48
what,what,8.48,8.599999
i,i,8.599999,8.719999
thought,thought,8.719999,8.93
of,of,8.93,9.03
you,you,9.03,9.25
and,and,9.47,9.639999
now,now,9.639999,10.03
well,well,10.7,11.219999
being,being,11.219999,11.509999
a,a,11.509999,11.599999
christian,christian,11.599999,11.98
woman,woman,11.98,12.25
i,i,12.25,12.42
can't,can't,12.42,12.78
say,say,12.78,13.07
it,it,13.07,13.309999
