template	NADA	0	2
0.000000	0.613125	407.394470	291.098480	685.950562	39.910473	36.184479	42.925373	0.000000	0.613125	38.306049	39.489143	38.043533	41.095390	41.028984	0	0	0	0	0	0	spn	"i	^	"i	1	XXNONVERBALXX	30.873043	36.839428	30.873043	36.839428	None	None	-1	0	
0.613125	0.753125	--undefined--	--undefined--	--undefined--	62.986629	41.028984	70.250351	0.613125	0.753125	41.028984	60.151978	67.126495	69.691154	67.504822	0	0	0	0	0	0	"i	v	spn	"i	1	evening	37.979973	46.154297	34.009556	41.986027	watchful-80	None	-5	0	None
0.753125	0.873125	411.372437	411.280334	411.464539	63.050983	58.658794	69.100426	0.753125	0.873125	67.504822	59.222790	59.424152	64.626633	69.100426	0	0	0	0	0	0	v	n	"i	I	2	evening	37.979973	46.154297	41.082165	44.940853	watchful-80	None	-4	0	None
0.873125	0.933125	--undefined--	--undefined--	--undefined--	68.912590	67.706177	69.701027	0.873125	0.933125	69.100426	69.701027	69.146317	69.004478	67.706177	0	0	0	0	0	0	n	I	v	I	3	evening	37.979973	46.154297	39.596458	46.154297	watchful-80	None	-3	0	None
0.933125	0.963125	--undefined--	--undefined--	--undefined--	67.169655	66.499924	67.706177	0.933125	0.963125	67.706177	67.371246	67.371246	67.101273	66.499924	0	0	0	0	0	0	I	N	n	I	4	evening	37.979973	46.154297	42.611996	46.154297	watchful-80	None	-2	0	None
0.963125	0.993125	371.573853	371.573853	371.573853	66.537674	66.280724	66.690498	0.963125	0.993125	66.499924	66.690498	66.690498	66.679543	66.280724	0	0	0	0	0	0	N	m	I	"{	5	evening	37.979973	46.154297	--undefined--	--undefined--	watchful-80	None	-1	0	None
0.993125	1.083125	--undefined--	--undefined--	--undefined--	66.483841	65.829407	67.388374	0.993125	1.083125	66.280724	66.372063	65.868637	67.388374	66.972023	0	0	0	0	0	0	m	"{	N	"{	1	ma'am	40.957993	45.798458	43.484093	45.798458	watchful-80	None	-3	0	None
1.083125	1.253125	270.348389	259.419983	281.276794	66.025269	63.572968	66.972023	1.083125	1.253125	66.972023	66.316010	66.475479	66.344391	63.572968	0	0	0	0	0	0	"{	m	m	"{	2	ma'am	40.957993	45.798458	38.301380	43.260727	watchful-80	None	-2	0	None
1.253125	1.323125	340.267029	340.267029	340.267029	59.845821	56.181694	63.572968	1.253125	1.323125	63.572968	61.877781	60.032265	58.181728	56.181694	0	0	0	0	0	0	m	spn	"{	"3`	3	ma'am	40.957993	45.798458	42.073643	44.134308	watchful-80	None	-1	0	None
1.323125	3.163750	419.962341	271.111633	666.422546	40.152229	34.382042	56.181694	1.323125	3.163750	56.181694	36.508507	38.664547	39.706558	46.319447	0	0	0	0	0	0	spn	w	m	"3`	1	XXNONVERBALXX	31.003508	41.737904	31.003508	41.737904	watchful-80	None	-1	0	None
3.163750	3.283750	340.208893	340.208893	340.208893	59.062481	46.289196	64.836105	3.163750	3.283750	46.319447	57.504314	63.209003	64.836105	63.686352	0	0	0	0	0	0	w	"3`	spn	"3`	1	we're	35.784439	37.114418	35.784439	37.114418	watchful-80	None	-2	0	None
3.283750	3.373750	394.202972	339.969147	594.462097	65.547112	63.686352	67.407974	3.283750	3.373750	63.686352	64.518402	65.596138	66.525604	67.407974	0	0	0	0	0	0	"3`	I	w	"3`	2	we're	35.784439	37.114418	--undefined--	--undefined--	watchful-80	None	-1	0	None
3.373750	3.423749	554.876709	515.291260	594.462097	67.480537	66.503418	68.581207	3.373750	3.423749	67.407974	68.581207	67.928192	67.380524	66.503418	0	0	0	0	0	0	I	n	"3`	I	1	in	39.876686	44.517105	37.360481	37.360481	watchful-80	None	-2	0	None
3.423749	3.473750	516.289062	516.289062	516.289062	63.649624	58.381371	66.503418	3.423749	3.473750	66.503418	64.751984	64.251213	62.911621	58.381371	0	0	0	0	0	0	n	p	I	3`	2	in	39.876686	44.517105	39.876686	44.517105	watchful-80	None	-1	0	None
