measure,n,DialogueOnly_mean,DialogueOnly_sd,DialogueOnly_median,FullContext_mean,FullContext_sd,FullContext_median,mean_difference,wilcoxon_W,p_raw,p_holm,rank_biserial_r
Overall scene fit,10,5.216666666666666,0.9028418780662113,5.5,5.583333333333334,1.0160745087873269,5.916666666666666,0.3666666666666667,0.0,0.0078125,0.0390625,1.0
Character intentions,10,5.2,0.9743627230397223,5.333333333333334,5.433333333333333,1.0488088481701516,5.583333333333333,0.23333333333333325,14.0,0.359375,1.0,0.37777777777777777
Facial affect,10,5.05,1.0542389449676104,5.5,5.083333333333334,1.0836894001739534,5.333333333333333,0.033333333333333305,8.5,0.8125,1.0,0.19047619047619047
Attention/gaze,10,5.416666666666666,0.8021960598996473,5.583333333333333,5.4833333333333325,0.9442810316143531,5.583333333333333,0.0666666666666667,11.0,0.671875,1.0,0.21428571428571427
Change timing,10,5.45,0.9939632603687939,5.416666666666667,5.590000000000001,0.9438625658483741,5.5,0.13999999999999996,1.5,0.09375,0.375,0.8571428571428571
