measure,n,Direct_mean,Direct_sd,Direct_median,Plan_mean,Plan_sd,Plan_median,mean_difference,wilcoxon_W,p_raw,p_holm,rank_biserial_r
Match to intended reading,10,5.1,0.9660917830792959,5.25,5.65,0.8181958472422384,5.75,0.55,9.0,0.1171875,0.21875,0.6
Final performance satisfaction,10,5.15,1.055409346599171,5.0,5.75,0.8897565210026093,6.0,0.6,4.0,0.109375,0.21875,0.7142857142857143
