measure,n,Direct_mean,Direct_sd,Direct_median,Plan_mean,Plan_sd,Plan_median,mean_difference,wilcoxon_W,p_raw,p_holm,rank_biserial_r
Express intended acting direction,10,5.5,0.97182531580755,6.0,5.8,1.0327955589886444,6.0,0.3,2.0,0.5,1.0,0.6
Change one decision while preserving accepted decisions,10,5.0,1.5634719199411433,5.0,5.5,1.4337208778404378,6.0,0.5,13.0,0.5546875,1.0,0.2777777777777778
Understand what part of performance was changed,9,4.888888888888889,1.5365907428821477,6.0,6.222222222222222,0.6666666666666666,6.0,1.3333333333333333,0.0,0.0625,0.5625,1.0
Control of final acting direction,10,5.2,1.3165611772087666,5.0,5.6,1.2649110640673518,6.0,0.4,4.0,0.4375,1.0,0.4666666666666667
Coordinate speaking/listening behavior,10,5.0,1.4907119849998598,5.0,5.8,0.9189365834726815,6.0,0.8,2.0,0.25,1.0,0.7333333333333333
Move between visual judgment and semantic revision,9,5.222222222222222,0.8333333333333334,5.0,5.0,0.7071067811865476,5.0,-0.2222222222222222,2.5,0.625,1.0,-0.5
Final performance felt like own creative decision,9,4.777777777777778,0.9718253158075502,5.0,5.333333333333333,1.3228756555322951,5.0,0.5555555555555556,2.5,0.3125,1.0,0.6666666666666666
Explore alternative performances,10,6.3,0.48304589153964794,6.0,6.4,0.6992058987801011,6.5,0.1,2.0,1.0,1.0,0.3333333333333333
Quality worth time/effort,8,6.125,0.8345229603962802,6.0,6.125,0.9910312089651149,6.0,0.0,5.0,1.0,1.0,0.0
